Date,LV0,LV1,LV2,LV3,LV4,I_LV0,A_LV0,E_LV0,I_LV1,A_LV1,E_LV1,I_LV2,A_LV2,E_LV2,I_LV3,A_LV3,E_LV3,I_LV4,A_LV4,E_LV4
Oct,851.4,811.8,768.1,640.8,506.3,106.8,0,0,65.07,0,20.73,65.07,0,0,65.07,0,0,52.056,0,0
Nov,836.1,795.3,756.6,639.3,503.9,106.8,0,0,65.07,0,20.73,65.07,0,0,65.07,0,0,52.056,0,0
Dec,810.1,768.7,735.2,640.7,488.6,106.8,0,0,65.07,0,20.73,65.07,0,0,65.07,0,0,52.056,0,0
Jan,776.7,734.5,703.7,639.8,473.4,106.8,0,0,65.07,0,20.73,65.07,0,0,65.07,0,0,52.056,0,0
Feb,771.1,729.1,686.8,639.8,459.3,106.8,0,0,65.07,0,20.73,65.07,0,0,65.07,0,0,52.056,0,0
Mar,771.1,729.1,686.8,639.8,459.3,106.8,0,0,65.07,0,20.73,65.07,0,0,65.07,0,0,52.056,0,0
Apr,771.1,729.1,686.8,639.8,459.3,106.8,12.39,0,62.85,13.11,10.41,62.85,13.11,0,62.85,20.976,0,50.28,20.976,0
May,788.9,729.1,686.8,637,459.3,106.8,60.48,0,62.85,63.39,0,62.85,63.39,0,62.85,50.712,0,50.28,50.712,0
Jun,752.5,689.1,635.6,562.1,440,106.8,94.11,0,62.85,99.6,0,62.85,99.6,0,62.85,79.68,0,50.28,79.68,0
Jul,721.3,632.9,559.4,486,422.7,106.8,37.08,0,62.85,39.09,0,62.85,39.09,0,62.85,27.384,0,50.28,27.384,0
Aug,750.7,675,614.1,531.3,420.7,106.8,78,0,62.85,83.61,0,62.85,83.61,0,62.85,58.548,0,50.28,58.548,0
Sep,839.2,783.5,717.7,610.4,443.6,106.8,41.1,0,62.85,44.01,0,62.85,44.01,0,62.85,30.807,0,50.28,30.807,0
