Date,LV1,LV2,LV3,LV4,I_LV0,A_LV0,E_LV0,I_LV1,A_LV1,E_LV1,I_LV2,A_LV2,E_LV2,I_LV3,A_LV3,E_LV3,I_LV4,A_LV4,E_LV4
Oct,338.6,313.5,288.5,134.5,40.5,0,12.96,20.91,0,12.96,20.91,0,0,16.74,0,0,0,0,0
Nov,314,296,273.9,132.2,40.5,0,12.96,20.91,0,12.96,40.5,0,0,16.74,0,0,0,0,0
Dec,288.5,268.4,248.4,121.5,40.5,0,12.96,20.91,0,12.96,40.5,0,0,16.74,0,0,0,0,0
Jan,263.5,243.5,223.5,110.8,40.5,0,12.96,20.91,0,12.96,40.5,0,0,16.74,0,0,0,0,0
Feb,243.2,221.2,198.2,100.6,40.5,0,12.96,20.91,0,12.96,40.5,0,0,16.74,0,0,0,0,0
Mar,231.3,206.8,183.8,90.3,40.5,0,12.96,20.91,0,12.96,40.5,0,0,16.74,0,0,0,0,0
Apr,221.6,198.3,172,88.9,40.5,0,12.96,20.91,0,12.96,40.5,0,0,16.74,0,0,0,0,0
May,227.3,202.3,175.3,86.6,40.5,0,12.96,20.91,0,12.96,40.5,0,0,16.74,0,0,0,0,0
Jun,248.4,210.3,182.3,86.3,40.5,0,12.96,20.91,0,12.96,40.5,0,0,16.74,0,0,0,0,0
Jul,313.2,258,198.4,83.1,40.5,0,12.96,20.91,0,12.96,40.5,0,0,16.74,0,0,0,0,0
Aug,340.7,306.4,264.4,88.1,40.5,0,12.96,20.91,0,12.96,40.5,0,0,16.74,0,0,0,0,0
Sep,349.3,322.3,291.2,113.5,40.5,0,12.96,20.91,0,12.96,40.5,0,0,16.74,0,0,0,0,0
