SD_CD,SD_NM,SGG_CD,SGG_NM,EMD_CD,EMD_NM,HJD_CD,USER_DROUG,Shape_Leng,POPCNT,SUPLPPCNT,SUPLPER,STNYEAR,USE1M,USE2M,USE3M,USE4M,USE5M,USE6M,USE7M,USE8M,USE9M,USE10M,USE11M,USE12M,LPCD,WATER1DVNM,WATER1_sou,WATER1NM,WATER1CD,INTAKE1NM,INTAKE1CD,FILTER1NM,FILTER1CD,RESERV1NM,RESERV1CD,LOCAL_DVNA,WSPSYS1CD,Shape_Le_1,Shape_Area
11,서울특별시,11110,종로구,11110530,사직동,1111053000,,5763.212425,9806,9806,1,2020,352700,118778,323227,103620,287527,110359,368596,129524,389514,121249,316433,107565,760,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,5763.212425,1158535.742
11,서울특별시,11110,종로구,11110540,삼청동,1111054000,,7426.596877,2909,2909,1,2020,104825,1065,96899,699,88652,577,101360,906,111489,1294,96420,966,568,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,7426.596877,1479254.77
11,서울특별시,11110,종로구,11110550,부암동,1111055000,,9017.654698,10333,10333,1,2020,3416,154218,3278,151530,2444,157247,2334,172136,2831,167092,2419,167208,261,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,강북정수장,2015006519,북악터널배수지,2015006541,지방,1100rs08,9017.654698,2274738.827
11,서울특별시,11110,종로구,11110560,평창동,1111056000,,13371.47666,18582,18582,1,2020,277364,12994,270974,12609,293609,12533,317297,12482,314110,12423,302989,12143,272,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,강북정수장,2015006519,북악터널배수지,2015006541,지방,1100rs08,13371.47666,8947328.064
11,서울특별시,11110,종로구,11110570,무악동,1111057000,,2621.082265,8592,8592,1,2020,24346,87386,23964,99029,26539,98179,26075,100771,26641,101819,25966,99109,235,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,보광배수지,2015007223,지방,1100rs07,2621.082265,369520.3596
11,서울특별시,11110,종로구,11110580,교남동,1111058000,,3427.787982,10634,10634,1,2020,119156,1410,88699,811,84189,751,94276,863,96076,783,97539,727,150,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,3427.787982,346925.5723
11,서울특별시,11110,종로구,11110630,종로5·6가동,1111063000,,3641.77218,5656,5656,1,2020,39888,200697,38010,173838,31016,182854,33900,209246,37229,194769,33141,189690,659,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,3641.77218,603166.8341
11,서울특별시,11110,종로구,11110640,이화동,1111064000,,4454.540207,8111,8111,1,2020,306614,115251,299897,113938,273645,105310,305320,110895,350159,131118,273575,100583,838,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,4454.540207,782394.8971
11,서울특별시,11110,종로구,11110690,창신3동,1111069000,,2444.657855,7107,7107,1,2020,531,94956,460,94570,424,98102,472,100050,503,108315,507,97243,229,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,2444.657855,216835.4588
11,서울특별시,11110,종로구,11110700,숭인1동,1111070000,,2852.427452,6388,6388,1,2020,80136,15704,79153,15722,81969,17344,87734,16445,89643,16924,82459,16929,257,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,2852.427452,239396.0775
11,서울특별시,11110,종로구,11110670,창신1동,1111067000,,3140.472341,5964,5964,1,2020,33452,129662,32678,100526,25252,108616,27796,122885,28939,116285,26807,116900,398,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,3140.472341,305337.3173
11,서울특별시,11110,종로구,11110680,창신2동,1111068000,,2934.824545,9503,9503,1,2020,135513,6095,137977,5773,135963,5175,146101,5367,148175,5249,144842,4952,253,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,2934.824545,257323.0739
11,서울특별시,11110,종로구,11110600,가회동,1111060000,,4430.96852,4418,4418,1,2020,136972,55414,138215,53933,137904,61509,153923,64024,156058,63597,145651,63638,761,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,4430.96852,539987.0487
11,서울특별시,11110,종로구,11110615,종로1·2·3·4가동,1111061500,,8529.255331,8448,8448,1,2020,283137,733957,272998,563170,216915,603563,265786,744683,285914,629607,234660,592952,1755,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,8529.255331,2417139.326
11,서울특별시,11140,중구,11140540,회현동,1114054000,,5337.562963,5757,5757,1,2020,372312,139460,333452,95528,293114,104058,362355,144139,380352,114939,291363,108809,1300,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,5337.562963,897827.1554
11,서울특별시,11140,중구,11140550,명동,1114055000,,6315.473313,3685,3685,1,2020,53983,244741,46954,223983,46932,226710,55204,258066,57921,248178,51395,235038,1297,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,6315.473313,969602.3049
11,서울특별시,11140,중구,11140570,필동,1114057000,,6368.025506,4754,4754,1,2020,35815,157298,30845,132332,23680,144586,25627,171127,26012,157464,25063,139852,615,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,6368.025506,1464686.148
11,서울특별시,11140,중구,11140580,장충동,1114058000,,7396.962912,5468,5468,1,2020,185862,49883,186443,40319,144818,32036,177934,39065,190479,41458,163336,39398,645,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,7396.962912,1017924.664
11,서울특별시,11140,중구,11140590,광희동,1114059000,,5607.866529,6416,6416,1,2020,118998,319607,96845,233416,75210,245484,90204,302751,104321,272111,83823,244139,931,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,5607.866529,737203.6595
11,서울특별시,11140,중구,11140625,다산동,1114062500,,4159.742009,14725,14725,1,2020,279443,526732,244465,352694,171278,354853,182947,488300,207615,403361,178748,357141,695,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,4159.742009,523970.6497
11,서울특별시,11140,중구,11140635,약수동,1114063500,,3838.693509,17354,17354,1,2020,28762,141995,30519,133211,29734,136644,31395,147700,32321,144548,31516,147917,163,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,3838.693509,486232.6478
11,서울특별시,11140,중구,11140645,청구동,1114064500,,2726.263658,14281,14281,1,2020,186431,71349,167455,67648,168675,65278,182851,67848,187426,66750,173953,62208,281,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,2726.263658,342570.6645
11,서울특별시,11170,용산구,11170630,이촌1동,1117063000,,6975.519067,28961,28961,1,2020,9198,102999,9233,100747,9879,104230,9398,113703,10104,105443,9419,110886,66,댐(K-water),다목적댐,충주댐,1003110,암사취수장,2015006513,암사정수장,2015006516,낙성대배수지,2015006530,지방,1100rs03,6975.519067,2872766.504
11,서울특별시,11170,용산구,11170640,이촌2동,1117064000,,5154.874679,8808,8808,1,2020,35815,195501,31481,172742,27607,158863,25291,172268,25302,169965,24538,164378,373,댐(K-water),다목적댐,충주댐,1003110,암사취수장,2015006513,암사정수장,2015006516,낙성대배수지,2015006530,지방,1100rs03,5154.874679,1205543.39
11,서울특별시,11170,용산구,11170650,이태원1동,1117065000,,3743.665951,8764,8764,1,2020,177385,1680,175467,1470,176617,1302,184148,1338,187178,1442,183656,1348,341,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,보광배수지,2015007223,지방,1100rs07,3743.665951,582898.5567
11,서울특별시,11140,중구,11140665,동화동,1114066500,,3023.632987,10827,10827,1,2020,221164,395326,188706,319012,136345,319136,184117,427743,211785,379978,165352,344105,831,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs07,3023.632987,327045.4328
11,서울특별시,11170,용산구,11170510,후암동,1117051000,,4573.904863,18202,18202,1,2020,19931,341810,20334,341859,19200,345051,19555,366915,19928,368255,18500,356050,336,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,보광배수지,2015007223,지방,1100rs07,4573.904863,865891.8394
11,서울특별시,11170,용산구,11170520,용산2가동,1117052000,,8076.863347,11272,11272,1,2020,222476,47492,222444,47456,223667,48141,232156,48812,239214,49231,224336,47939,401,댐(K-water),다목적댐,충주댐,1003110,강북취수장,2015006515,뚝도정수장,2015006518,보광배수지,2015007223,지방,1100rs07,8076.863347,1966852.675
11,서울특별시,11170,용산구,11170530,남영동,1117053000,,7296.949358,8116,8116,1,2020,233418,12434,230269,12686,234802,11592,248555,11890,246186,10097,241784,9919,506,댐(K-water),다목적댐,충주댐,1003110,자양취수장,1986000008,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs06,7296.949358,1177788.557
11,서울특별시,11170,용산구,11170570,원효로2동,1117057000,,4180.516728,14331,14331,1,2020,321966,117151,318425,120877,324600,124537,344879,124284,339906,128147,334129,123625,519,댐(K-water),다목적댐,충주댐,1003110,자양취수장,1986000008,뚝도정수장,2015006518,대현산배수지,2015006522,지방,1100rs06,4180.516728,708975.2034
