번호,통제소명,허가번호,시설물명,허가량(m³/일),용도,허가종료일,허가여부
1,금강홍수통제소,3-1979-011,실옥보,84153,농업용수,8/13/2024,허가중
2,금강홍수통제소,3-1981-012,용두양수장,157853,농업용수,7/23/2026,허가중
3,금강홍수통제소,3-1981-013,황탄1취수장,12000,공업용수,3/24/2025,허가중
4,금강홍수통제소,3-1981-014,금호2호양수장,3240,농업용수,8/10/2026,허가중
5,금강홍수통제소,3-1981-015,금호1호양수장,4860,농업용수,11/4/2025,허가중
6,금강홍수통제소,3-1981-019,금탄2양수장,470,농업용수,9/29/2026,허가중
7,금강홍수통제소,3-1985-002,모현레미콘취수장,66,공업용수,12/31/2024,허가중
8,금강홍수통제소,3-1986-001,방우리수력발전소,1880064,발전용수,6/30/2026,허가중
9,금강홍수통제소,3-1986-003,금강수력발전,2661120,발전용수,4/17/2026,허가중
10,금강홍수통제소,3-1987-002,대동양수장,7000,농업용수,3/5/2027,허가중
11,금강홍수통제소,3-1987-006,쌍용제지취수장,10000,공업용수,3/31/2025,허가중
12,금강홍수통제소,3-1990-001,장기1양수장,9000,농업용수,4/30/2025,허가중
13,금강홍수통제소,3-1990-005,부원공업 양수장,608,공업용수,7/28/2027,허가중
14,금강홍수통제소,3-1991-001,황탄2취수장,16000,공업용수,3/24/2025,허가중
15,금강홍수통제소,3-1991-002,집수정 3기,2050,공업용수,12/31/2024,허가중
16,금강홍수통제소,3-1992-003,나포양수장,1500000,농업용수,6/25/2027,허가중
17,금강홍수통제소,3-1992-004,현도공업단지정수장,10380,공업용수,12/31/2024,허가중
18,금강홍수통제소,3-1992-006,가수원양수장,4800,환경개선,10/8/2027,허가중
19,금강홍수통제소,3-1993-002,공주시1취수장,0,생활용수,4/30/2025,허가중
20,금강홍수통제소,3-1993-003,부용공단취수장,2690,공업용수,12/31/2024,허가중
21,금강홍수통제소,3-1994-001,전민양수장,5000,농업용수,3/30/2025,허가중
22,금강홍수통제소,3-1994-003,소학양수장,13000,농업용수,4/30/2025,허가중
23,금강홍수통제소,3-1994-004,원봉양수장,23472,농업용수,4/30/2025,허가중
24,금강홍수통제소,3-1994-006,강경양수장,1382,농업용수,10/16/2024,허가중
25,금강홍수통제소,3-1994-007,공주시2취수장,0,생활용수,4/30/2025,허가중
26,금강홍수통제소,3-1994-008,천내양수장,24400,농업용수,9/30/2029,허가중
27,금강홍수통제소,3-1994-012,침산보,7646,농업용수,3/31/2025,허가중
28,금강홍수통제소,3-1994-013,안영상양수장,3360,농업용수,3/31/2025,허가중
29,금강홍수통제소,3-1995-003,아세아제지집수정,13810,공업용수,12/31/2024,허가중
30,금강홍수통제소,3-1995-005,합강양수장,47000,농업용수,5/10/2025,허가중
31,금강홍수통제소,3-1995-006,금동양수장,37000,농업용수,5/10/2025,허가중
32,금강홍수통제소,3-1995-008,국일제지사업장취수정,2500,공업용수,7/3/2025,허가중
33,금강홍수통제소,3-1995-009,외리양수장,1000,농업용수,7/23/2025,허가중
34,금강홍수통제소,3-1995-010,서원양수장,2000,농업용수,7/23/2025,허가중
35,금강홍수통제소,3-1995-011,정암양수장,2400,농업용수,7/23/2025,허가중
36,금강홍수통제소,3-1995-012,왕진양수장,174500,농업용수,2/28/2028,허가중
37,금강홍수통제소,3-1995-017,와동양수장,4080,농업용수,8/13/2025,허가중
38,금강홍수통제소,3-1995-020,사진포양수장,6540,농업용수,8/27/2025,허가중
39,금강홍수통제소,3-1995-021,태봉보,600,농업용수,8/27/2025,허가중
40,금강홍수통제소,3-1995-022,고창양수장,21600,농업용수,6/29/2025,허가중
41,금강홍수통제소,3-1996-001,죽당양수장,6650,농업용수,1/5/2026,허가중
42,금강홍수통제소,3-1996-006,강정양수장,23400,농업용수,9/30/2027,허가중
43,금강홍수통제소,3-1997-002,연동양수장,37000,농업용수,3/20/2027,허가중
44,금강홍수통제소,3-1997-003,이인양수장,11000,농업용수,4/30/2025,허가중
45,금강홍수통제소,3-1998-002,월산단지 취수시설,9000,공업용수,12/31/2025,허가중
46,금강홍수통제소,3-1999-003,금호3양수장,2400,농업용수,10/31/2025,허가중
47,금강홍수통제소,3-1999-005,백암양수장,7200,농업용수,6/29/2025,허가중
48,금강홍수통제소,3-1999-006,전민동 양수장2,1800,농업용수,3/31/2025,허가중
49,금강홍수통제소,3-1999-007,왕촌천취수장,0,생활용수,5/30/2025,허가중
50,금강홍수통제소,3-2000-001,취수정,7000,공업용수,5/11/2025,허가중
51,금강홍수통제소,3-2000-002,부용양수장,10000,농업용수,9/30/2025,허가중
52,금강홍수통제소,3-2002-001,서포양수장,1800000,농업용수,6/25/2027,허가중
53,금강홍수통제소,3-2002-002,(주)일양취수장,50,공업용수,8/22/2027,허가중
54,금강홍수통제소,3-2002-003,금강양수장,1181000,농업용수,9/4/2027,허가중
55,금강홍수통제소,3-2004-001,분강양수장,58248,농업용수,4/30/2025,허가중
56,금강홍수통제소,3-2006-004,대전천 유지용수,75000,환경개선,9/10/2026,허가중
57,금강홍수통제소,3-2007-001,천내리양수장,584,환경개선,3/14/2027,허가중
58,금강홍수통제소,3-2007-002,갑천양수장,30000,환경개선,3/31/2025,허가중
59,금강홍수통제소,3-2007-003,천내리2양수장,11000,농업용수,8/22/2027,허가중
60,금강홍수통제소,3-2007-005,신곡양수장,34880,농업용수,3/31/2027,허가중
61,금강홍수통제소,3-2008-005,굴암리양수장,200,농업용수,5/12/2026,허가중
62,금강홍수통제소,3-2008-035,한솔제지 취수장,10000,공업용수,12/31/2024,허가중
63,금강홍수통제소,3-2008-036,남양유업집수정,3000,공업용수,12/31/2025,허가중
64,금강홍수통제소,3-2008-040,용계양수장,3450,농업용수,12/31/2026,허가중
65,금강홍수통제소,3-2008-041,도당양수옥,382,농업용수,3/31/2026,허가중
66,금강홍수통제소,3-2008-047,송수관1,5000,공업용수,3/31/2026,허가중
67,금강홍수통제소,3-2008-049,남관양수장,5184,농업용수,2/28/2029,허가중
68,금강홍수통제소,3-2008-050,집수정,3000,공업용수,8/31/2026,허가중
69,금강홍수통제소,3-2008-057,리조트 사력댐,10000,생활용수,12/31/2027,허가중
70,금강홍수통제소,3-2008-060,집수정,2022,공업용수,12/31/2024,허가중
71,금강홍수통제소,3-2008-061,삼화제지취수장,2000,공업용수,12/31/2024,허가중
72,금강홍수통제소,3-2008-062,집수정,10000,공업용수,12/31/2024,허가중
73,금강홍수통제소,3-2008-071,신안취수장,0,생활용수,2/28/2025,허가중
74,금강홍수통제소,3-2008-083,2집수정,1000,공업용수,12/31/2024,허가중
75,금강홍수통제소,3-2009-003,연구소취수정,1000,농업용수,9/30/2026,허가중
76,금강홍수통제소,3-2009-010,대소양수장,1935,농업용수,5/12/2026,허가중
77,금강홍수통제소,3-2009-021,집수정,300,환경개선,3/31/2029,허가중
78,금강홍수통제소,3-2010-023,세종보소수력발전소,0,발전용수,7/14/2025,허가중
79,금강홍수통제소,3-2010-035,서원권역 농촌마을종합개발사업,540,환경개선,11/29/2025,허가중
80,금강홍수통제소,3-2012-015,온천천하천유지용수 공급시설,14195,환경개선,3/31/2027,허가중
81,금강홍수통제소,3-2012-025,공주보소수력발전소,0,발전용수,7/29/2027,허가중
82,금강홍수통제소,3-2012-026,백제보소수력발전소,1,발전용수,12/31/2026,허가중
83,금강홍수통제소,3-2012-032,대농천수중보,1312,농업용수,11/7/2027,허가중
84,금강홍수통제소,3-2012-033,옥현양수장,715,농업용수,11/7/2027,허가중
85,금강홍수통제소,3-2012-035,행정마을집수정,600,농업용수,12/16/2027,허가중
86,금강홍수통제소,3-2013-006,세종천연가스발전소,0,공업용수,12/31/2027,허가중
87,금강홍수통제소,3-2013-007,집수정,12000,공업용수,12/31/2024,허가중
88,금강홍수통제소,3-2013-025,노천양수장,6480,농업용수,10/31/2024,허가중
89,금강홍수통제소,3-2013-035,마전취수장,6500,공업용수,4/30/2028,허가중
90,금강홍수통제소,3-2013-038,대흥양수장,2700,농업용수,4/30/2027,허가중
91,금강홍수통제소,3-2013-057,신촌양수장,7500,농업용수,4/30/2028,허가중
92,금강홍수통제소,3-2014-055,화평양수장,6624,농업용수,10/1/2024,허가중
93,금강홍수통제소,3-2014-067,박물관집수정,3,기타용수,5/26/2025,허가중
94,금강홍수통제소,3-2015-014,신달양수장,15025,농업용수,2/25/2025,허가중
95,금강홍수통제소,3-2015-064,초평산업단지 취수시설,860,공업용수,6/15/2025,허가중
96,금강홍수통제소,3-2015-101,반지리양수장,2340,농업용수,8/27/2025,허가중
97,금강홍수통제소,3-2015-102,괴곡양수장,1240,농업용수,8/27/2025,허가중
98,금강홍수통제소,3-2015-103,중보,3090,농업용수,8/27/2025,허가중
99,금강홍수통제소,3-2015-104,새보,1560,농업용수,8/27/2025,허가중
100,금강홍수통제소,3-2015-105,상보,2780,농업용수,8/27/2025,허가중
101,금강홍수통제소,3-2015-106,유천동보,2890,농업용수,8/27/2025,허가중
102,금강홍수통제소,3-2015-107,교사취수장,18000,생활용수,10/21/2025,허가중
103,금강홍수통제소,3-2016-014,노천1양수장,9600,농업용수,3/9/2026,허가중
104,금강홍수통제소,3-2016-018,교평취수장,2750,생활용수,5/31/2026,허가중
105,금강홍수통제소,3-2016-026,두북양수장,27360,농업용수,3/30/2026,허가중
